Nama Hotel
ASTON Inn Mataram
ASTON Sunset Beach Resort - Gili Trawangan
favehotel Langko
Sunwood Arianz Hotel Managed by BENCOOLEN
Hotel Santika Mataram Lombok
Jambuluwuk Oceano Gili Trawangan Resort
Holiday Resort Lombok
Idoop Hotel Lombok
Kebun Villas and Resort
Syariah Lombok Hotel
Fortune Hotel Lombok
SPOT ON 2732 Sandy Guesthouse
RedDoorz near Mataram University
Lombok Garden Hotel
Prime Park Hotel & Convention Lombok
ILLIRA Lite Praya Lombok
Panfila Hotel
Lombok Plaza Hotel & Convention
Central Inn Senggigi
Raja Kuta Mandalika
Embun Rinjani Homestay Near Gunung Rinjani RedPartner
711 Gili Trawangan Near Gili Trawangan Harbour RedPartner
Capital O 91696 Kimara Homestay & Resto
RedDoorz @ Jalan Raya Kuta Lombok Mandalika
Capital O 91384 Rintaka Residence
Gili Sands Beach Club
Collection O 91617 Hotel Mutiara Lombok
Capital O 91837 Villa Bukit Leddu
OYO 2020 Hotel Bumi Aditya
SPOT ON 1784 TNC Residence Syariah
Collection O 1651 Purnama Beach Hotel
Grand Madani Hotel Syariah
Capital O 2796 Medana Bay Marina
OYO 3741 Mutiara Syariah 1
OYO 90672 Balakosa Hotel
Lombok Mayura Hotel
Amarsvati Luxury Resort Condotel & Villas Malimbu Lombok
Amber Lombok Beach Resort by Cross Collection
Fizz Hotel Lombok
SAME Hotel Lombok
RedDoorz Syariah near Lombok Epicentrum Mall
M Hotel Lombok
Puri Senggigi Hotel
Grand Senggigi Hotel
OYO 91391 Mutiara Syariah 3
RedDoorz @ Jalan Pendidikan Mataram
Aruna Senggigi Resort & Convention
Santorini Beach Resort
Puri Saron Senggigi Beach Resort
The Jayakarta Lombok Beach Resort & Spa
Nusantara Hotel Sembalun
Katamaran Hotel & Resort
OYO 90372 Hotel Arum Jaya
Lombok Astoria
Amaia Lombok
OYO 2848 Senaz Guesthouse
Svarga Resort Lombok
Natya Hotel Gili Trawangan
Oka Homestay
Montana Premier Senggigi
OYO 90820 Madania Guesthouse Syariah
Origin Lombok
Hastina Hotel Lombok
Senggigi Cottages Lombok
FRii Resort Gili Trawangan
Norton Homestay
Sriwijaya Hotel
Grand Hotel Lombok
Pandora Hotel
OYO 2544 Just-in Hotel
Palapa Hotel Mataram
Puri Indah Hotel Subak
Narmada Hotel Convention Hall
Hotel Lumi Gili Trawangan
Sheraton Senggigi Beach Resort
RedDoorz near Tanjung Karang Beach Mataram
Yoki's Bungalow
Bidari Hotel
Lombok Raya Hotel
Indigenous Bungalow
Mataram Square Hotel
Gili Ocean Club
D'MAX Hotel & Convention Lombok
City Hotel Mataram
Gili Splendia Beach
Seri Resort Gili Meno
Hotel Srikandi
Hotel Mataram Lombok
Warna Beach Hotel
Grand Legi Mataram
Hart Hotel Premium Rapatmaja
Melati Cottage
Citilike Hotel Lombok
Royal Regantris Trawangan Formerly Royal Singosari Trawangan
The Kayana Beach Lombok
Mustika Ocean Lodge
Grand Inn Hotel
Puri Rinjani Bungalows
OYO 90820 Madania Guesthouse Syariah
PONDOK PELANGI SEMBALUN
Qunci Villas Hotel
Tanawu House
Marc Hotel Gili Trawangan
Makalele Domes
Krisna Homestay
Rajavilla Lombok Resort
Rinjani Garden
Cozy Bungalows
Wisma Dhana Syariah
Les Villas Ottalia Gili Meno
Hotel Vila Ombak
Mola2 Resort Gili Air
Hotel Zaitun Selaparang
Royal Regantris Villa Karang
Aira Homestay RedPartner
Kaleydo Villas
Lembah Rinjani Villa & Resto by Ecommerceloka
Kayun Bungalow
Gipsy Beach Bungalow
Samata Village, Gili Air
Villa Selalu Gili Gede
Nirvana Gili Sudak Resort Lombok
Lesehan Cahaya Tetebatu Inn Syariah at Desa Wisata
Villa K Lombok
Island Beach Bungalow
OYO 91210 Hotel J3
Krisna Bungalow and Restaurant
Colour Cottages
Senggigi Cottages Lombok
Amazing Lombok Resort
Kura Kura Resort
Pesona Bulan Baru Hotel
Palm Green Homestay
WAH Resort
Cocotinos Hotel Sekotong Lombok
OYO 2450 Hening Homestay
Villa Bambu Rinjani & Restaurant RedPartner
OYO 1514 Rara Inn
Villa Sahabat
Meno Smile Cottages
OYO 1837 Telone Bungalow
